county_number,County Name,composite,literacy,numeracy,alg_1,alg_2,bio,chem,ela,eng_1,eng_2,eng_3,math,science,enrollment,black,hispanic,native,el,swd,ed,expenditures,act_composite,chronic_abs,suspended,expelled,grad,est_count_total,est_count_total_never_married,est_count_total_now_married_except_separated,est_count_total_divorced,est_count_total_separated,est_count_total_widowed,est_count_total_born_in_state_of_residence,est_count_total_born_in_state_of_residence_never_married,school_year,k_8_attendance_rate_pct,k_8_promotion_rate_pct,attendance_rate_pct,never_married_per_capita,married_not_sep_per_capita,divorced_per_capita,separated_per_capita,widowed_per_capita,born_in_state_of_residence_per_capita,born_in_state_of_residence_never_married_per_capita,graduate_category
53,Gibson County,5,5,5,94.4,92.6,87.9,66.7,56.5,81.8,68.4,70.4,73.4,75.4,499,6.1,0.6,0,0,17.3,62.8,10143.5,18.7,11.4,0.9,0,100,39551,9510,19837,5680,859,3665,29401,7606,2015,96.7,71.4,97,0.240449,0.501555,0.14361205,0.021718793,0.09266517,0.7433693,0.1923087,Very High
53,Gibson County,2,3,5,83.7,73.2,75.3,63,57.8,83.8,73.5,59.6,67.5,79.7,3832,7.8,2,0,0.4,13.3,42.3,7270,19.7,8.2,0,0,94.9,39551,9510,19837,5680,859,3665,29401,7606,2015,96.3,98.9,94,0.240449,0.501555,0.14361205,0.021718793,0.09266517,0.7433693,0.1923087,Medium
55,Giles County,3,2,3,64.8,56.6,51.3,33.4,45.3,74.5,56.2,36.4,48.2,62.8,3796,17.2,2.1,0.4,0.5,12.4,61.5,8952.3,18.2,27.6,3.1,0.4,87.2,23865,5757,12503,3044,675,1886,14470,3846,2015,95.9,99.1,93.8,0.2412319,0.5239053,0.12755081,0.028284098,0.07902787,0.6063273,0.1611565,Low
57,Grainger County,3,3,1,55.6,46.5,55.9,36.7,37.9,62.2,51.6,32.6,44.9,56.9,3385,0.7,5.5,0.2,0,16,66.3,8436.4,18,18.6,0.6,0.1,88.1,18840,3784,10913,2389,361,1393,12544,2814,2015,95.3,100,93.1,0.2008493,0.5792463,0.12680467,0.019161359,0.07393843,0.6658174,0.1493631,Low
59,Greene County,1,4,1,64.1,57.1,63.2,50.5,43.4,71.8,61.8,37,45.9,59.7,6775,1.5,3.1,0.3,0.9,18,66.1,8282.5,18.9,18.1,5.7,0,93.7,57230,13245,30329,8541,1097,4018,37107,9134,2015,92.8,101.17712,95.6,0.2314346,0.5299493,0.14923991,0.019168268,0.07020793,0.6483837,0.1596016,Medium
59,Greene County,5,5,5,83.2,90.2,77.7,86.1,59.3,87.3,75.1,66,65.5,74.2,2674,9.8,7.8,0.9,3,16.6,47.2,10862.5,21.3,9.1,4.5,0,98.6,57230,13245,30329,8541,1097,4018,37107,9134,2015,95.9,98.4,95.6,0.2314346,0.5299493,0.14923991,0.019168268,0.07020793,0.6483837,0.1596016,High
61,Grundy County,1,1,1,47.9,41.7,51.9,41.9,32.4,62,62,36.7,37.8,47.7,2105,0.2,1,0.1,0.4,19,81.2,9087.9,17.6,18.1,0.3,0,90,11062,2694,5350,1608,417,993,8868,2291,2015,94.3,97.2,92.5,0.2435364,0.4836377,0.1453625,0.037696619,0.08976677,0.8016634,0.2071054,Medium
63,Hamblen County,5,4,5,76.7,63.3,70.9,43.9,48,74.1,68,41.1,58.3,69.3,9917,6.7,21.7,0.4,11.9,13.7,64.3,8109.2,19.7,5.2,3.7,0.4,91,50733,11912,26045,7558,861,4357,30767,7727,2015,97,99.5,97.9,0.2347979,0.5133739,0.14897601,0.016971202,0.08588098,0.6064495,0.1523072,Medium
65,Hamilton County,1,1,1,60.9,43.6,57.6,31.2,44.8,67.6,59.8,33,54.9,59.7,41904,31.1,9.6,0.2,5,12.7,60.5,9728.8,18.9,14.1,7.9,0.6,82.6,286248,88662,137284,36545,5198,18559,155711,55138,2015,96,98.5,92.8,0.3097384,0.4795981,0.12766901,0.018159079,0.06483539,0.5439724,0.1926232,Low
67,Hancock County,1,1,1,51.3,38.2,32,14.3,26.2,57.3,53.2,30.2,28.2,42.6,946,0.6,0.7,0.2,0.4,20.1,81.6,9762.1,17.4,18.6,0.8,0,89.5,5477,1310,2834,690,94,549,4047,1056,2015,95,98.6,92.2,0.239182,0.5174366,0.12598138,0.01716268,0.10023736,0.7389082,0.1928063,Low
